"Hora inicio","Hora fin","Título","Fecha inicio","Fecha fin","Canal"
"10:45:00","12:15:00","Mañana Nunca Más - Subtitulada","2012-10-11","2012-10-11","PP8T",
"12:15:00","13:45:00","Mañana Nunca Más - Subtitulada","2012-10-11","2012-10-11","PP8T",
"13:45:00","16:15:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-11","2012-10-11","PP8T",
"16:15:00","19:00:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-11","2012-10-11","PP8T",
"19:00:00","21:30:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-11","2012-10-11","PP8T",
"21:30:00","00:15:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-11","2012-10-12","PP8T",
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-12","2012-10-12","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-12","2012-10-12","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-12","2012-10-12","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-12","2012-10-12","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-12","2012-10-12","PP8T",
"13:45:00","15:45:00","Al Borde Del Abismo - Subtitulada","2012-10-12","2012-10-12","PP8T",
"15:45:00","17:45:00","Al Borde Del Abismo - Subtitulada","2012-10-12","2012-10-12","PP8T",
"17:45:00","19:45:00","Al Borde Del Abismo - Subtitulada","2012-10-12","2012-10-12","PP8T",
"19:45:00","21:45:00","Al Borde Del Abismo - Subtitulada","2012-10-12","2012-10-12","PP8T",
"21:45:00","23:45:00","Al Borde Del Abismo - Subtitulada","2012-10-12","2012-10-12","PP8T",
"23:45:00","01:45:00","Al Borde Del Abismo - Subtitulada","2012-10-12","2012-10-13","PP8T",
"01:45:00","03:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-13","PP8T",
"03:45:00","05:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-13","PP8T",
"05:45:00","07:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-13","PP8T",
"07:45:00","09:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-13","PP8T",
"09:45:00","11:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-13","PP8T",
"11:45:00","13:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-13","PP8T",
"13:45:00","15:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-13","PP8T",
"15:45:00","17:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-13","PP8T",
"17:45:00","19:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-13","PP8T",
"19:45:00","21:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-13","PP8T",
"21:45:00","23:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-13","PP8T",
"23:45:00","01:45:00","Al Borde Del Abismo - Subtitulada","2012-10-13","2012-10-14","PP8T",
"01:45:00","03:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-14","PP8T",
"03:45:00","05:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-14","PP8T",
"05:45:00","07:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-14","PP8T",
"07:45:00","09:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-14","PP8T",
"09:45:00","11:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-14","PP8T",
"11:45:00","13:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-14","PP8T",
"13:45:00","15:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-14","PP8T",
"15:45:00","17:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-14","PP8T",
"17:45:00","19:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-14","PP8T",
"19:45:00","21:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-14","PP8T",
"21:45:00","23:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-14","PP8T",
"23:45:00","01:45:00","Al Borde Del Abismo - Subtitulada","2012-10-14","2012-10-15","PP8T",
"01:45:00","03:45:00","Al Borde Del Abismo - Subtitulada","2012-10-15","2012-10-15","PP8T",
"03:45:00","05:45:00","Al Borde Del Abismo - Subtitulada","2012-10-15","2012-10-15","PP8T",
"05:45:00","07:45:00","Al Borde Del Abismo - Subtitulada","2012-10-15","2012-10-15","PP8T",
